Date,Open,High,Low,Close,Adj Close,Volume,Neg,Neut,Pos
02/08/2016,768.690002,775.840027,767.849976,771.070007,771.070007,1784500,0.440947101,0.635457569,0.559052899
03/08/2016,767.179993,773.210022,766.820007,773.179993,773.179993,1287400,0.440947101,0.635457569,0.559052899
04/08/2016,772.219971,774.070007,768.794983,771.609985,771.609985,1139400,0.440947101,0.635457569,0.559052899
05/08/2016,773.780029,783.039978,772.340027,782.219971,782.219971,1801200,0.440947101,0.635457569,0.559052899
08/08/2016,782,782.630005,778.091003,781.76001,781.76001,1107900,0.440947101,0.635457569,0.559052899
09/08/2016,781.099976,788.940002,780.570007,784.26001,784.26001,1318900,0.440947101,0.635457569,0.559052899
10/08/2016,783.75,786.812012,782.778015,784.679993,784.679993,786400,0.440947101,0.635457569,0.559052899
11/08/2016,785,789.75,782.969971,784.849976,784.849976,971100,0.440947101,0.635457569,0.559052899
12/08/2016,781.5,783.39502,780.400024,783.219971,783.219971,740500,0.440947101,0.635457569,0.559052899
15/08/2016,783.75,787.48999,780.109985,782.440002,782.440002,938200,0.440947101,0.635457569,0.559052899
16/08/2016,780.299988,780.97998,773.44397,777.140015,777.140015,1028000,0.440947101,0.635457569,0.559052899
17/08/2016,777.320007,780.809998,773.530029,779.909973,779.909973,924200,0.440947101,0.635457569,0.559052899
18/08/2016,780.01001,782.859985,777,777.5,777.5,719400,0.440947101,0.635457569,0.559052899
19/08/2016,775,777.099976,773.130005,775.419983,775.419983,861500,0.440947101,0.635457569,0.559052899
22/08/2016,773.27002,774.539978,770.049988,772.150024,772.150024,951400,0.440947101,0.635457569,0.559052899
23/08/2016,775.47998,776.440002,771.784973,772.080017,772.080017,928200,0.440947101,0.635457569,0.559052899
24/08/2016,770.580017,774.5,767.070007,769.640015,769.640015,1072000,0.440947101,0.635457569,0.559052899
25/08/2016,767,771.890015,763.184998,769.409973,769.409973,926900,0.440947101,0.635457569,0.559052899
26/08/2016,769,776.080017,765.849976,769.539978,769.539978,1166700,0.440947101,0.635457569,0.559052899
29/08/2016,768.73999,774.98999,766.61499,772.150024,772.150024,841000,0.440947101,0.635457569,0.559052899
30/08/2016,769.330017,774.466003,766.840027,769.090027,769.090027,1130000,0.440947101,0.635457569,0.559052899
31/08/2016,767.01001,769.090027,765.380005,767.049988,767.049988,1248600,0.440947101,0.635457569,0.559052899
01/09/2016,769.25,771.02002,764.299988,768.780029,768.780029,925100,0.46015599,0.707339178,0.53984401
02/09/2016,773.01001,773.919983,768.409973,771.460022,771.460022,1072700,0.46015599,0.707339178,0.53984401
06/09/2016,773.450012,782,771,780.080017,780.080017,1442800,0.46015599,0.707339178,0.53984401
07/09/2016,780,782.72998,776.200012,780.349976,780.349976,893700,0.46015599,0.707339178,0.53984401
08/09/2016,778.590027,780.349976,773.580017,775.320007,775.320007,1260600,0.46015599,0.707339178,0.53984401
09/09/2016,770.099976,773.244995,759.659973,759.659973,759.659973,1885500,0.46015599,0.707339178,0.53984401
12/09/2016,755.130005,770.289978,754,769.02002,769.02002,1311000,0.46015599,0.707339178,0.53984401
13/09/2016,764.47998,766.219971,755.799988,759.690002,759.690002,1395000,0.46015599,0.707339178,0.53984401
14/09/2016,759.609985,767.679993,759.109985,762.48999,762.48999,1087400,0.46015599,0.707339178,0.53984401
15/09/2016,762.890015,773.799988,759.960022,771.76001,771.76001,1305100,0.46015599,0.707339178,0.53984401
16/09/2016,769.75,769.75,764.659973,768.880005,768.880005,2049300,0.46015599,0.707339178,0.53984401
19/09/2016,772.419983,774,764.440979,765.700012,765.700012,1171100,0.46015599,0.707339178,0.53984401
20/09/2016,769,773.330017,768.530029,771.409973,771.409973,978600,0.46015599,0.707339178,0.53984401
21/09/2016,772.659973,777.159973,768.301025,776.219971,776.219971,1167800,0.46015599,0.707339178,0.53984401
22/09/2016,780,789.849976,778.440002,787.210022,787.210022,1486200,0.46015599,0.707339178,0.53984401
23/09/2016,786.590027,788.929993,784.150024,786.900024,786.900024,1411900,0.46015599,0.707339178,0.53984401
26/09/2016,782.73999,782.73999,773.070007,774.210022,774.210022,1533200,0.46015599,0.707339178,0.53984401
27/09/2016,775.5,785.98999,774.307983,783.01001,783.01001,1153200,0.46015599,0.707339178,0.53984401
28/09/2016,777.849976,781.809998,774.969971,781.559998,781.559998,1109800,0.46015599,0.707339178,0.53984401
29/09/2016,781.440002,785.799988,774.231995,775.01001,775.01001,1314700,0.46015599,0.707339178,0.53984401
30/09/2016,776.330017,780.940002,774.090027,777.289978,777.289978,1585300,0.46015599,0.707339178,0.53984401
03/10/2016,774.25,776.065002,769.5,772.559998,772.559998,1278800,0.399354359,0.598295908,0.600645641
04/10/2016,776.030029,778.710022,772.890015,776.429993,776.429993,1201400,0.399354359,0.598295908,0.600645641
05/10/2016,779.309998,782.070007,775.650024,776.469971,776.469971,1461200,0.399354359,0.598295908,0.600645641
06/10/2016,779,780.47998,775.539978,776.859985,776.859985,1070700,0.399354359,0.598295908,0.600645641
07/10/2016,779.659973,779.659973,770.75,775.080017,775.080017,933200,0.399354359,0.598295908,0.600645641
10/10/2016,777.710022,789.380005,775.869995,785.940002,785.940002,1161400,0.399354359,0.598295908,0.600645641
11/10/2016,786.659973,792.280029,780.580017,783.070007,783.070007,1372500,0.399354359,0.598295908,0.600645641
12/10/2016,783.76001,788.130005,782.059998,786.140015,786.140015,937400,0.399354359,0.598295908,0.600645641
13/10/2016,781.219971,781.219971,773,778.190002,778.190002,1365300,0.399354359,0.598295908,0.600645641
14/10/2016,781.650024,783.950012,776,778.530029,778.530029,852500,0.399354359,0.598295908,0.600645641
17/10/2016,779.799988,785.849976,777.5,779.960022,779.960022,1093000,0.399354359,0.598295908,0.600645641
18/10/2016,787.849976,801.609985,785.565002,795.26001,795.26001,1995600,0.399354359,0.598295908,0.600645641
19/10/2016,798.23999,804.599976,798.030029,801.5,801.5,1766800,0.399354359,0.598295908,0.600645641
20/10/2016,803.299988,803.969971,796.030029,796.969971,796.969971,1757500,0.399354359,0.598295908,0.600645641
21/10/2016,795,799.5,794,799.369995,799.369995,1266200,0.399354359,0.598295908,0.600645641
24/10/2016,804.900024,815.179993,804.820007,813.109985,813.109985,1697500,0.399354359,0.598295908,0.600645641
25/10/2016,816.679993,816.679993,805.140015,807.669983,807.669983,1576400,0.399354359,0.598295908,0.600645641
26/10/2016,806.340027,806.97998,796.320007,799.070007,799.070007,1647700,0.399354359,0.598295908,0.600645641
27/10/2016,801,803.48999,791.5,795.349976,795.349976,2749200,0.399354359,0.598295908,0.600645641
28/10/2016,808.349976,815.48999,793.590027,795.369995,795.369995,4269900,0.399354359,0.598295908,0.600645641
31/10/2016,795.469971,796.859985,784,784.539978,784.539978,2427300,0.399354359,0.598295908,0.600645641
01/11/2016,782.890015,789.48999,775.539978,783.609985,783.609985,2406400,0.450692346,0.693312888,0.549307654
02/11/2016,778.200012,781.650024,763.450012,768.700012,768.700012,1872400,0.450692346,0.693312888,0.549307654
03/11/2016,767.25,769.950012,759.030029,762.130005,762.130005,1943200,0.450692346,0.693312888,0.549307654
04/11/2016,750.659973,770.359985,750.560974,762.02002,762.02002,2134800,0.450692346,0.693312888,0.549307654
07/11/2016,774.5,785.190002,772.549988,782.52002,782.52002,1585100,0.450692346,0.693312888,0.549307654
08/11/2016,783.400024,795.632996,780.190002,790.51001,790.51001,1350800,0.450692346,0.693312888,0.549307654
09/11/2016,779.940002,791.22699,771.669983,785.309998,785.309998,2607100,0.450692346,0.693312888,0.549307654
10/11/2016,791.169983,791.169983,752.179993,762.559998,762.559998,4745200,0.450692346,0.693312888,0.549307654
11/11/2016,756.539978,760.780029,750.380005,754.02002,754.02002,2431800,0.450692346,0.693312888,0.549307654
14/11/2016,755.599976,757.849976,727.539978,736.080017,736.080017,3631700,0.450692346,0.693312888,0.549307654
15/11/2016,746.969971,764.416016,746.969971,758.48999,758.48999,2384000,0.450692346,0.693312888,0.549307654
16/11/2016,755.200012,766.359985,750.51001,764.47998,764.47998,1465200,0.450692346,0.693312888,0.549307654
17/11/2016,766.919983,772.700012,764.22998,771.22998,771.22998,1304000,0.450692346,0.693312888,0.549307654
18/11/2016,771.369995,775,760,760.539978,760.539978,1547100,0.450692346,0.693312888,0.549307654
21/11/2016,762.609985,769.700012,760.599976,769.200012,769.200012,1330600,0.450692346,0.693312888,0.549307654
22/11/2016,772.630005,776.960022,767,768.27002,768.27002,1593100,0.450692346,0.693312888,0.549307654
23/11/2016,767.72998,768.28302,755.25,760.98999,760.98999,1477400,0.450692346,0.693312888,0.549307654
25/11/2016,764.26001,765,760.52002,761.679993,761.679993,587400,0.450692346,0.693312888,0.549307654
28/11/2016,760,779.530029,759.799988,768.23999,768.23999,2188200,0.450692346,0.693312888,0.549307654
29/11/2016,771.530029,778.5,768.23999,770.840027,770.840027,1616600,0.450692346,0.693312888,0.549307654
30/11/2016,770.070007,772.98999,754.830017,758.039978,758.039978,2392900,0.450692346,0.693312888,0.549307654
01/12/2016,757.440002,759.849976,737.025024,747.919983,747.919983,3017900,0.467801987,0.835619464,0.532198013
02/12/2016,744.590027,754,743.099976,750.5,750.5,1452500,0.467801987,0.835619464,0.532198013
05/12/2016,757.710022,763.900024,752.900024,762.52002,762.52002,1394200,0.467801987,0.835619464,0.532198013
06/12/2016,764.72998,768.830017,757.340027,759.109985,759.109985,1690700,0.467801987,0.835619464,0.532198013
07/12/2016,761,771.359985,755.799988,771.190002,771.190002,1761000,0.467801987,0.835619464,0.532198013
08/12/2016,772.47998,778.179993,767.22998,776.419983,776.419983,1488100,0.467801987,0.835619464,0.532198013
09/12/2016,780,789.429993,779.020996,789.289978,789.289978,1821900,0.467801987,0.835619464,0.532198013
12/12/2016,785.039978,791.25,784.35498,789.27002,789.27002,2104100,0.467801987,0.835619464,0.532198013
13/12/2016,793.900024,804.380005,793.340027,796.099976,796.099976,2145200,0.467801987,0.835619464,0.532198013
14/12/2016,797.400024,804,794.01001,797.070007,797.070007,1704200,0.467801987,0.835619464,0.532198013
15/12/2016,797.340027,803,792.919983,797.849976,797.849976,1626500,0.467801987,0.835619464,0.532198013
16/12/2016,800.400024,800.856018,790.289978,790.799988,790.799988,2428300,0.467801987,0.835619464,0.532198013
19/12/2016,790.219971,797.659973,786.27002,794.200012,794.200012,1232100,0.467801987,0.835619464,0.532198013
20/12/2016,796.76001,798.650024,793.27002,796.419983,796.419983,951000,0.467801987,0.835619464,0.532198013
21/12/2016,795.840027,796.676025,787.099976,794.559998,794.559998,1211300,0.467801987,0.835619464,0.532198013
22/12/2016,792.359985,793.320007,788.580017,791.26001,791.26001,972200,0.467801987,0.835619464,0.532198013
23/12/2016,790.900024,792.73999,787.280029,789.909973,789.909973,623400,0.467801987,0.835619464,0.532198013
27/12/2016,790.679993,797.859985,787.656982,791.549988,791.549988,789100,0.467801987,0.835619464,0.532198013
28/12/2016,793.700012,794.22998,783.200012,785.049988,785.049988,1153800,0.467801987,0.835619464,0.532198013
29/12/2016,783.330017,785.929993,778.919983,782.789978,782.789978,742200,0.467801987,0.835619464,0.532198013
30/12/2016,782.75,782.780029,770.409973,771.820007,771.820007,1770000,0.467801987,0.835619464,0.532198013
03/01/2017,778.809998,789.630005,775.799988,786.140015,786.140015,1657300,0.381713224,0.768881016,0.618286776
04/01/2017,788.359985,791.340027,783.159973,786.900024,786.900024,1073000,0.381713224,0.768881016,0.618286776
05/01/2017,786.080017,794.47998,785.02002,794.02002,794.02002,1335200,0.381713224,0.768881016,0.618286776
06/01/2017,795.26001,807.900024,792.203979,806.150024,806.150024,1640200,0.381713224,0.768881016,0.618286776
09/01/2017,806.400024,809.966003,802.830017,806.650024,806.650024,1272400,0.381713224,0.768881016,0.618286776
10/01/2017,807.859985,809.130005,803.51001,804.789978,804.789978,1176800,0.381713224,0.768881016,0.618286776
11/01/2017,805,808.150024,801.369995,807.909973,807.909973,1065900,0.381713224,0.768881016,0.618286776
12/01/2017,807.140015,807.390015,799.169983,806.359985,806.359985,1353100,0.381713224,0.768881016,0.618286776
13/01/2017,807.47998,811.223999,806.690002,807.880005,807.880005,1099200,0.381713224,0.768881016,0.618286776
